pokedex_number,name_en,name_ko
1,Bulbasaur,이상해씨
2,Ivysaur,이상해풀
3,Venusaur,이상해꽃
4,Charmander,파이리
5,Charmeleon,리자드
6,Charizard,리자몽
7,Squirtle,꼬부기
8,Wartortle,어니부기
9,Blastoise,거북왕
10,Caterpie,캐터피
11,Metapod,단데기
12,Butterfree,버터플
13,Weedle,뿔충이
14,Kakuna,딱충이
15,Beedrill,독침붕
16,Pidgey,구구
17,Pidgeotto,피죤
18,Pidgeot,피죤투
19,Rattata,꼬렛
20,Raticate,레트라
21,Spearow,깨비참
22,Fearow,깨비드릴조
23,Ekans,아보
24,Arbok,아보크
25,Pikachu,피카츄
26,Raichu,라이츄
27,Sandshrew,모래두지
28,Sandslash,고지
29,Nidoran♀,니드런♀
30,Nidorina,니드리나
31,Nidoqueen,니드퀸
32,Nidoran♂,니드런♂
33,Nidorino,니드리노
34,Nidoking,니드킹
35,Clefairy,삐삐
36,Clefable,픽시
37,Vulpix,식스테일
38,Ninetales,나인테일
39,Jigglypuff,푸린
40,Wigglytuff,푸크린
41,Zubat,주뱃
42,Golbat,골뱃
43,Oddish,뚜벅쵸
44,Gloom,냄새꼬
45,Vileplume,라플레시아
46,Paras,파라스
47,Parasect,파라섹트
48,Venonat,콘팡
49,Venomoth,도나리
50,Diglett,디그다
51,Dugtrio,닥트리오
52,Meowth,나옹
53,Persian,페르시온
54,Psyduck,고라파덕
55,Golduck,골덕
56,Mankey,망키
57,Primeape,성원숭
58,Growlithe,가디
59,Arcanine,윈디
60,Poliwag,발챙이
61,Poliwhirl,슈륙챙이
62,Poliwrath,강챙이
63,Abra,캐이시
64,Kadabra,윤겔라
65,Alakazam,후딘
66,Machop,알통몬
67,Machoke,근육몬
68,Machamp,괴력몬
69,Bellsprout,모다피
70,Weepinbell,우츠동
71,Victreebel,우츠보트
72,Tentacool,왕눈해
73,Tentacruel,독파리
74,Geodude,꼬마돌
75,Graveler,데구리
76,Golem,딱구리
77,Ponyta,포니타
78,Rapidash,날쌩마
79,Slowpoke,야돈
80,Slowbro,야도란
81,Magnemite,코일
82,Magneton,레어코일
83,Farfetch’d,파오리
84,Doduo,두두
85,Dodrio,두트리오
86,Seel,쥬쥬
87,Dewgong,쥬레곤
88,Grimer,질퍽이
89,Muk,질뻐기
90,Shellder,셀러
91,Cloyster,파르셀
92,Gastly,고오스
93,Haunter,고우스트
94,Gengar,팬텀
95,Onix,롱스톤
96,Drowzee,슬리프
97,Hypno,슬리퍼
98,Krabby,크랩
99,Kingler,킹크랩
100,Voltorb,찌리리공
101,Electrode,붐볼
102,Exeggcute,아라리
103,Exeggutor,나시
104,Cubone,탕구리
105,Marowak,텅구리
106,Hitmonlee,시라소몬
107,Hitmonchan,홍수몬
108,Lickitung,내루미
109,Koffing,또가스
110,Weezing,또도가스
111,Rhyhorn,뿔카노
112,Rhydon,코뿌리
113,Chansey,럭키
114,Tangela,덩쿠리
115,Kangaskhan,캥카
116,Horsea,쏘드라
117,Seadra,시드라
118,Goldeen,콘치
